OrderID,CustomerID,OrderDate,Area,ActualTime,Sentiment,Sentiment_Score,Review,Total_Amount,Delivery_Status,Prep_Time,Transit_Time
ORD100027,CUST529,2026-01-14,Sec-45,14,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",2123.67,Returned,4,10
ORD100028,CUST1448,2026-01-08,Cyberhub,19 mins,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,2116.31,Refunded,6,6
ORD100029,CUST734,2025-10-17,Sohna Road,21,Positive,0.3,Good quality products and very reliable service for daily needs.,373.76,Returned,10,11
ORD100030,CUST945,2026-01-04,Sohna Rd.,15,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,1349.67,Cancelled,3,12
ORD100031,CUST1107,2025-11-04,Sector 45,20,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,2497.76,Cancelled,8,12
ORD100032,CUST516,2025-12-12,Phase 3 DLF,10,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,2434.59,Returned,4,6
ORD100033,CUST1777,2026-01-09,Cyberhub,24,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",579.87,Refunded,8,16
ORD100034,CUST1920,2026-01-01,Golf Course Road,27,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",986.76,Returned,9,9
ORD100035,CUST697,03/01/2026,Sector45,19,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",708.67,Cancelled,6,13
ORD100036,CUST1102,2025-10-26,Phase 3 DLF,16,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",717.3,Refunded,6,10
ORD100037,CUST1687,2025-11-10,DLF-3,10,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",668.15,Refunded,4,6
ORD100038,CUST1879,2025-12-02,GolfCourse Rd,15,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",2450.38,Returned,9,6
ORD100039,CUST1192,09/01/2026,Phase 3 DLF,Delayed,Negative,-0.91,"Very bad experience, the milk was leaking and delivery was delayed by 20 minutes.",916.55,Returned,10,20
ORD100040,CUST1720,2025-11-23,Cyber Hub,24,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",1518.72,Delivered,9,15
ORD100041,CUST190,2025-11-13,Sector 45,32,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,585.71,Cancelled,6,18
ORD100042,CUST301,2025-11-16,S. 45,32,Neutral,-0.1,Missing items in my order and the support team is not responding properly.,630.31,Returned,6,20
ORD100043,CUST811,2025-12-27,Phase 3 DLF,22,Neutral,-0.1,Missing items in my order and the support team is not responding properly.,582.78,Refunded,3,19
ORD100044,CUST1430,2025-12-15,GolfCourse Rd,33 mins,Positive,0.3,Good quality products and very reliable service for daily needs.,835.08,Delivered,4,17
ORD100045,CUST1960,2026-01-07,Sector 45,27,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",2112.27,Returned,10,17
ORD100046,CUST1376,2025-11-11,Cyberhub,17,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",549.17,Refunded,2,15
ORD100047,CUST1281,2026-01-05,Sector 45,25,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",2062.64,Cancelled,9,16
ORD100048,CUST312,2025-10-18,Sohna Rd.,16,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",697.83,Delivered,6,10
ORD100049,CUST2000,2025-11-25,Cyber Hub,27,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",2098.15,Refunded,7,20
ORD100050,CUST1510,2026-01-04,Golf Course Road,19,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,974.43,Delivered,10,9
ORD100051,CUST1015,2025-10-18,Sec-45,18,Negative,-0.266666667,"Poor quality of vegetables, they looked stale and old. Not recommended.",963.81,Cancelled,2,16
ORD100052,CUST81,2025-10-27,Golf Course Rd,24,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",,Returned,3,7
ORD100053,CUST819,2025-11-01,DLF Phase 3,20,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",1493.05,Delivered,3,17
ORD100054,CUST1631,2025-11-30,Cyb Hub,22,Positive,0.3,Good quality products and very reliable service for daily needs.,1931.5,Refunded,8,14
ORD100055,CUST670,2025-12-19,GGN Sec 45,17,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",359.94,Delivered,5,7
ORD100056,CUST329,2025-11-15,Sohna-Rd,Delayed,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",1581.17,Returned,9,18
ORD100057,CUST1075,2026-01-11,Cyber Hub,39,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,2448.84,Delivered,8,19
ORD100058,CUST1803,2026-01-02,GolfCourse Rd,22 mins,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,167.97,Returned,4,18
ORD100059,CUST477,2025-11-26,Shna Rd,13,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,464.99,Delivered,4,9
ORD100060,CUST390,2025-12-10,Sector 45,21,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,1575.35,Cancelled,8,13
ORD100061,CUST299,2025-11-10,DLF Phase 3,25,Neutral,-0.1,Missing items in my order and the support team is not responding properly.,1573.64,Cancelled,5,20
ORD100062,CUST496,2025-10-21,Cyber-Hub,26,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",516.91,Delivered,2,15
ORD100063,CUST201,2025-12-14,Golf Course Rd,25,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",617.26,Returned,7,18
ORD100064,CUST57,16/12/2025,DLF Phase 3,15,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",1717.23,Returned,2,13
ORD100065,CUST478,2025-12-03,Cyb Hub,21,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,1098.11,Returned,9,12
ORD100066,CUST938,2025-12-13,Golf Course Road,21 mins,Negative,-0.91,"Very bad experience, the milk was leaking and delivery was delayed by 20 minutes.",773.94,Delivered,2,19
ORD100067,CUST839,2025-12-25,GGN Sec 45,13,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",142.84,Cancelled,6,7
ORD100068,CUST244,2026-01-12,SohnaRoad,16,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,620.68,Cancelled,4,12
ORD100069,CUST114,2025-12-02,GCR,29,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,124.8,Refunded,5,13
ORD100070,CUST67,2025-11-06,S. 45,24,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,1474.28,Refunded,6,18
ORD100071,CUST1647,22/12/2025,Shna Rd,17,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,1431.35,Delivered,10,7
ORD100072,CUST1178,2025-10-25,GolfCourse Rd,17,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,1049.57,Cancelled,7,10
ORD100073,CUST983,2025-11-08,S. 45,19,Negative,-0.266666667,"Poor quality of vegetables, they looked stale and old. Not recommended.",2445.94,Refunded,10,9
ORD100074,CUST948,2026-01-11,Sohna-Rd,35,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",2499.81,Returned,7,17
ORD100075,CUST1525,2025-12-14,Sohna Rd.,20,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",903.9,Refunded,5,15
ORD100076,CUST1549,2025-12-03,DLF-3,27,Negative,-0.266666667,"Poor quality of vegetables, they looked stale and old. Not recommended.",2042.69,Cancelled,9,18
ORD100077,CUST1479,2026-01-11,Golf Course Rd,22,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,1707.2,Returned,9,13
ORD100078,CUST1888,2025-12-06,Phase 3 DLF,19,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,852.33,Cancelled,2,11
ORD100079,CUST1598,2025-10-29,Golf Course Road,17 mins,Positive,0.3,Good quality products and very reliable service for daily needs.,301.75,Delivered,2,15
ORD100080,CUST339,2025-11-03,S. 45,15,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",1776.85,Refunded,8,7
ORD100081,CUST1479,2025-11-16,DLF Phase 3,16,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",2254.13,Delivered,2,14
ORD100082,CUST305,2025-10-26,Golf Course Rd,24,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",1568.07,Cancelled,5,19
ORD100083,CUST1922,2025-10-23,DLF-3,14,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,752.84,Returned,9,5
ORD100084,CUST134,2025-12-13,Sector 45,24,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,199.54,Refunded,8,16
ORD100085,CUST1158,2025-12-05,GCR,23,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",1013.73,Refunded,8,15
ORD100086,CUST192,2026-01-01,G.C. Road,27,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",1242.97,Cancelled,10,10
ORD100087,CUST973,2025-12-16,DLF Ph 3,20,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",2477.73,Cancelled,9,11
ORD100088,CUST1677,2025-11-19,DLF-3,20,Neutral,-0.1,Missing items in my order and the support team is not responding properly.,1969.87,Cancelled,5,15
ORD100089,CUST1940,2025-12-09,Sector 45,24,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",421.21,Returned,7,11
ORD100090,CUST865,2026-01-03,Golf Course Road,14,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,1305.62,Cancelled,5,9
ORD100091,,2026-01-11,Golf Course Road,29,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",2083.31,Refunded,9,20
ORD100092,CUST1106,2025-12-01,Cyber Hub,15,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",385.33,Returned,6,9
ORD100093,CUST1697,2025-12-13,DLF Ph 3,26,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",313.46,Cancelled,9,17
ORD100094,CUST1672,2025-11-01,Golf Course Road,28,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,2431.6,Delivered,6,13
ORD100095,CUST1258,2025-11-10,Golf Course Road,23,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",2319.68,Cancelled,8,15
ORD100096,CUST1922,2026-01-11,Sohna Rd.,12 mins,Positive,0.3,Good quality products and very reliable service for daily needs.,2331.27,Refunded,2,10
ORD100097,CUST645,2025-12-12,S. 45,18,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",261.24,Delivered,6,12
ORD100098,CUST1146,2025-12-25,Cyber-Hub,21,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,606.98,Delivered,9,12
ORD100099,CUST1655,2025-11-18,G.C. Road,26 mins,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,1359.54,Cancelled,10,16
ORD100100,CUST1707,2025-11-23,Phase 3 DLF,15,Negative,-0.91,"Very bad experience, the milk was leaking and delivery was delayed by 20 minutes.",2446.5,Delivered,10,5
ORD100101,CUST1212,2025-12-15,Golf Course Road,15,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",890.1,Cancelled,8,7
ORD100102,CUST1096,2025-11-26,Golf Course Rd,8,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",170.17,Refunded,2,6
ORD100103,CUST281,2025-12-19,GCR,14,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",615.08,Delivered,8,6
ORD100104,CUST126,05/12/2025,Cyber Hub,13 mins,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",1363.35,Returned,8,5
ORD100105,CUST1254,2025-10-28,Golf Course Rd,13,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",183.39,Delivered,2,11
ORD100106,CUST1675,2025-10-28,Phase 3 DLF,17,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",1843.82,Delivered,4,13
ORD100107,CUST1411,2026-01-03,Sector 45,12,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,1383.91,Delivered,3,9
ORD100108,CUST1097,2025-12-24,Sector 45,13 mins,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,2168.31,Cancelled,5,8
ORD100109,CUST749,2026-01-04,GGN Sec 45,28,Neutral,-0.1,Missing items in my order and the support team is not responding properly.,1720.4,Cancelled,9,6
ORD100110,CUST1828,2025-10-23,DLF Phase 3,11 mins,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,1891.99,Cancelled,4,7
ORD100111,CUST930,2025-12-01,Sec-45,8 mins,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",2089.31,Cancelled,3,5
ORD100112,CUST1579,2025-11-16,GGN Sec 45,22,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",1023.87,Returned,7,15
ORD100113,CUST536,2025-12-05,G.C. Road,20,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",169.31,Returned,2,18
ORD100114,CUST1299,2025-11-03,Sector45,31,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",1887.71,Delivered,2,14
ORD100115,CUST1944,2025-12-10,Sector45,Delayed,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",1626.98,Delivered,6,18
ORD100116,CUST99,2025-12-18,Sector 45,20,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,512.89,Refunded,3,17
ORD100117,CUST933,2025-11-18,DLF Phase3,28,Negative,-0.266666667,"Poor quality of vegetables, they looked stale and old. Not recommended.",1617.39,Delivered,6,7
ORD100118,CUST1991,08/11/2025,Shna Rd,34,Negative,-0.266666667,"Poor quality of vegetables, they looked stale and old. Not recommended.",1073.83,Returned,9,11
ORD100119,CUST448,20/11/2025,Sector45,26,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",311.26,Refunded,8,18
ORD100120,CUST732,2025-12-07,GolfCourse Rd,Delayed,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",358.31,Refunded,6,8
ORD100121,CUST111,2025-11-04,Sohna Road,29,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,1992.02,Cancelled,5,10
ORD100122,CUST1708,07/12/2025,Sector45,19,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,1375.06,Delivered,8,11
ORD100123,CUST1385,2026-01-02,Golf Course Road,19,Negative,-0.91,"Very bad experience, the milk was leaking and delivery was delayed by 20 minutes.",1002.06,Returned,5,14
ORD100124,CUST338,2025-10-30,Sohna Road,8,Negative,-0.91,"Very bad experience, the milk was leaking and delivery was delayed by 20 minutes.",1517.65,Refunded,2,6
ORD100125,CUST1647,2025-12-21,Cyber Hub,26,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",808.71,Delivered,6,11
ORD100126,CUST1966,2025-11-03,GolfCourse Rd,27,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",314.34,Refunded,10,17
ORD100127,CUST1619,16/11/2025,Sohna Rd.,17,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",1949.76,Refunded,7,10
ORD100128,CUST1757,2025-12-06,Sohna Rd.,24,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",615.26,Returned,5,19
ORD100129,CUST33,2025-11-10,Cyberhub,21 mins,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,309.63,Returned,3,18
ORD100130,CUST1453,2025-10-31,DLF Ph 3,27,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",444.2,Returned,6,10
ORD100131,CUST1461,2025-11-19,Golf Course Rd,15,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",2062.69,Delivered,3,12
ORD100132,CUST536,2025-12-04,GGN Sec 45,24,Negative,-0.91,"Very bad experience, the milk was leaking and delivery was delayed by 20 minutes.",357.69,Returned,8,16
ORD100133,CUST269,2026-01-04,DLF-3,23 mins,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",667.37,Cancelled,10,13
ORD100134,CUST1325,2025-11-25,Sohna-Rd,Delayed,Negative,-0.91,"Very bad experience, the milk was leaking and delivery was delayed by 20 minutes.",1886.89,Refunded,3,11
ORD100135,CUST1307,16/11/2025,Sector 45,27 mins,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",2304.59,Cancelled,7,14
ORD100136,,2025-11-21,DLF Phase3,22,Positive,0.3,Good quality products and very reliable service for daily needs.,101.34,Cancelled,3,19
ORD100137,CUST598,03/12/2025,DLF Ph 3,21,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",2438.82,Refunded,8,13
ORD100138,CUST673,2025-10-29,Sector 45,20,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,1596.59,Cancelled,3,9
ORD100139,,2026-01-07,Sohna-Rd,13,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,1084.64,Cancelled,8,5
ORD100140,CUST618,2025-12-12,DLF Ph 3,23,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",221.22,Returned,3,20
ORD100141,CUST67,2025-12-23,GolfCourse Rd,17,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",2440.71,Cancelled,9,8
ORD100142,,2025-11-01,Cyber Hub,19 mins,Positive,0.255555556,"Decent service, but some items were near expiry. Okay for emergency.",1740.35,Delivered,10,9
ORD100143,CUST1885,2025-12-02,DLF-3,27,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",1359.45,Cancelled,2,20
ORD100144,CUST608,2025-11-15,SohnaRoad,14,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",1304.1,Returned,9,5
ORD100145,CUST1805,2025-11-17,Cyber-Hub,17,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",261.73,Refunded,7,10
ORD100146,CUST1492,2026-01-07,DLF Phase 3,7,Negative,-0.266666667,"Poor quality of vegetables, they looked stale and old. Not recommended.",1318.67,Returned,2,5
ORD100147,CUST752,2025-12-29,Cyber-Hub,9,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",1216.42,Returned,3,6
ORD100148,CUST43,2025-11-28,G.C. Road,19,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",1041.87,Delivered,6,6
ORD100149,CUST598,2025-10-21,Sohna Rd.,10,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,2187.59,Refunded,4,6
ORD100150,CUST867,2025-10-24,Cyber Hub GGN,18,Positive,0.3,Good quality products and very reliable service for daily needs.,1562.47,Refunded,6,12
ORD100151,CUST1285,2025-10-22,Sohna Road,26,Positive,0.5,"Excellent service, the delivery was incredibly fast and items were fresh.",153.33,Refunded,6,10
ORD100152,CUST1553,2025-10-20,DLF Phase3,15,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,232.38,Delivered,7,8
ORD100153,CUST1981,2026-01-05,Sohna Road,30,Positive,0.3,Good quality products and very reliable service for daily needs.,1574.09,Cancelled,5,12
ORD100154,CUST67,2026-01-13,DLF Phase 3,7,Neutral,-0.1,Missing items in my order and the support team is not responding properly.,1742.59,Cancelled,2,5
ORD100155,CUST944,2025-12-17,Sohna-Rd,22,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,389.67,Refunded,5,11
ORD100156,CUST515,2025-11-15,GolfCourse Rd,27 mins,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,,Returned,7,20
ORD100157,CUST339,27/12/2025,DLF Phase 3,20,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,1334.32,Delivered,2,18
ORD100158,CUST1965,2025-11-27,DLF-3,13,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,1239.01,Returned,3,10
ORD100159,CUST1757,30/11/2025,G.C. Road,14,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",2200.69,Returned,3,11
ORD100160,CUST441,2025-11-09,DLF Phase 3,Delayed,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,1704.06,Delivered,6,8
ORD100161,CUST1492,2025-12-29,DLF-3,31 mins,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,1599.68,Delivered,9,9
ORD100162,CUST669,2025-12-04,Sector45,11,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,1777.77,Delivered,4,7
ORD100163,CUST1094,2026-01-03,DLF Phase3,19,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",1489.36,Cancelled,7,12
ORD100164,CUST1379,2025-10-31,DLF-3,25,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",1643.71,Cancelled,2,17
ORD100165,CUST1061,2025-12-27,Cyber Hub,20,Positive,0.175,Average experience. Delivery was on time but packaging could be better.,1610.51,Returned,2,18
ORD100166,CUST734,2025-11-16,Cyber Hub,28 mins,Positive,0.3,Good quality products and very reliable service for daily needs.,2106.32,Cancelled,5,16
ORD100167,CUST1838,2025-11-18,DLF Phase 3,15,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",1927.32,Refunded,5,10
ORD100168,CUST1262,2025-11-04,Cyber Hub,12,Negative,-0.266666667,"Poor quality of vegetables, they looked stale and old. Not recommended.",479.58,Cancelled,6,6
ORD100169,,2025-10-19,Cyberhub,23,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",542.02,Refunded,10,13
ORD100170,CUST1325,2025-11-05,DLF-3,25,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,741.1,Refunded,5,5
ORD100171,CUST1630,2025-11-27,DLF Ph 3,21,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,834.34,Delivered,6,15
ORD100172,CUST1386,2025-11-06,Cyberhub,29 mins,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,722.01,Delivered,4,13
ORD100173,CUST1270,2025-12-30,DLF Phase 3,15,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,,Cancelled,3,12
ORD100174,CUST905,2025-11-18,Sector45,25,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,516.6,Refunded,10,15
ORD100175,CUST57,2025-11-09,Shna Rd,24,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,612.62,Cancelled,5,19
ORD100176,CUST1364,20/10/2025,DLF Phase 3,Delayed,Positive,0.475,"The app is good but the delivery took exactly 15 minutes, not 10.",429.83,Delivered,6,9
ORD100177,CUST1715,10/01/2026,DLF Phase 3,21,Positive,0.8,"Amazing experience, everything was perfectly packed and delivered on time.",1682.14,Cancelled,4,17
ORD100178,CUST1208,2025-11-11,Sohna Road,9,Positive,0.6,Very impressed with the packaging and the delivery partner was very polite.,1027.78,Returned,3,6
ORD100179,CUST1035,2026-01-13,Phase 3 DLF,27,Positive,0.178571429,"Standard experience, nothing special but got what I ordered.",805.01,Refunded,6,7
ORD100180,CUST1426,2025-11-11,Sector45,10,Negative,-0.51,"Received wrong items, very frustrating experience with the return process.",762.93,Delivered,4,6
ORD100181,CUST1011,2025-12-02,Sector45,15,Negative,-0.225,Late delivery again. Sector 45 dark store always has issues with speed.,2457.27,Returned,9,6
ORD100182,CUST1132,2025-11-03,Cyb Hub,30,Neutral,-0.1,Missing items in my order and the support team is not responding properly.,1255.64,Returned,3,12
ORD100183,CUST1195,01/11/2025,Cyb Hub,7,Positive,0.425,Items were fine but the delivery partner couldn't find my location easily.,1524.48,Returned,2,5
ORD100184,CUST490,2025-10-25,G.C. Road,20,Positive,0.461111111,"Super fast delivery! Got my groceries in 8 minutes, great job Team.",1222.4,Cancelled,7,13
